epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8712,0.43415,0.47094,0.2077,0.75064,0.94471,0.237,0.3117,0,0.000543587,0.000543587,0.000543587
2,147.074,0.12409,0.24609,0.0831,0.82764,0.96787,0.23519,0.1506,0,0.00104484,0.00104484,0.00104484
3,219.989,0.06518,0.13635,0.0481,0.92462,0.98888,0.04191,0.07528,0,0.00149108,0.00149108,0.00149108
4,293.351,0.0417,0.08524,0.02997,0.91385,0.98724,0.04699,0.07373,0,0.00141945,0.00141945,0.00141945
5,366.797,0.03682,0.0624,0.02199,0.93032,0.99001,0.03419,0.05371,0,0.00133693,0.00133693,0.00133693
6,440.668,0.02828,0.05632,0.01655,0.93677,0.99092,0.02994,0.04502,0,0.00125442,0.00125442,0.00125442
7,513.585,0.02979,0.05366,0.01436,0.93999,0.99149,0.02812,0.03958,0,0.0011719,0.0011719,0.0011719
8,587.218,0.02788,0.04684,0.01309,0.94073,0.99151,0.0276,0.03965,0,0.00108938,0.00108938,0.00108938
9,660.4,0.02473,0.04147,0.01139,0.94552,0.99236,0.02417,0.03531,0,0.00100687,0.00100687,0.00100687
10,733.754,0.0247,0.04003,0.01076,0.94083,0.99157,0.02687,0.03769,0,0.000924352,0.000924352,0.000924352
11,827.59,0.05156,0.04577,0.01885,0.94101,0.99175,0.02665,0.03741,0,0.000841835,0.000841835,0.000841835
12,895.634,0.03436,0.03659,0.01379,0.93884,0.99132,0.02694,0.041,0,0.000759318,0.000759318,0.000759318
13,964.327,0.03201,0.03441,0.01299,0.94015,0.99138,0.02737,0.0395,0,0.000676802,0.000676802,0.000676802
14,1033.34,0.03146,0.03283,0.01219,0.9433,0.99188,0.0247,0.03618,0,0.000594286,0.000594286,0.000594286
15,1100.69,0.03292,0.03602,0.01321,0.94195,0.99187,0.02544,0.03686,0,0.000511769,0.000511769,0.000511769
16,1163.55,0.02661,0.03126,0.01087,0.94116,0.99147,0.02614,0.037,0,0.000429253,0.000429253,0.000429253
17,1226.21,0.03254,0.03241,0.01254,0.94392,0.99205,0.02477,0.03579,0,0.000346736,0.000346736,0.000346736
18,1291.03,0.02653,0.02989,0.01079,0.94445,0.99213,0.02481,0.03508,0,0.00026422,0.00026422,0.00026422
19,1356.88,0.02473,0.02824,0.01025,0.94504,0.99221,0.0245,0.03423,0,0.000181703,0.000181703,0.000181703
20,1422.51,0.02641,0.02825,0.01079,0.94557,0.99229,0.02419,0.03397,0,9.91865e-05,9.91865e-05,9.91865e-05
