epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6174,0.43992,0.47102,0.21128,0.70839,0.92592,0.29288,0.31571,0,0.000543587,0.000543587,0.000543587
2,135.019,0.12523,0.23911,0.08489,0.83598,0.96948,0.19811,0.14587,0,0.00104484,0.00104484,0.00104484
3,197.967,0.06791,0.13574,0.04899,0.90308,0.9846,0.06151,0.09195,0,0.00149108,0.00149108,0.00149108
4,260.579,0.04602,0.09332,0.03199,0.92192,0.98868,0.0402,0.06379,0,0.00141945,0.00141945,0.00141945
5,323.111,0.04777,0.07942,0.02555,0.91337,0.98762,0.04149,0.05629,0,0.00133693,0.00133693,0.00133693
6,385.526,0.03382,0.05993,0.01834,0.9347,0.99039,0.0289,0.0443,0,0.00125442,0.00125442,0.00125442
7,447.826,0.04139,0.06498,0.0189,0.93339,0.99036,0.03138,0.04749,0,0.0011719,0.0011719,0.0011719
8,509.87,0.03221,0.05065,0.01479,0.93949,0.99128,0.02706,0.04106,0,0.00108938,0.00108938,0.00108938
9,571.492,0.02966,0.04485,0.01337,0.94125,0.99156,0.02762,0.03759,0,0.00100687,0.00100687,0.00100687
10,633.36,0.03035,0.0445,0.0131,0.94163,0.99161,0.02722,0.03845,0,0.000924352,0.000924352,0.000924352
11,715.67,0.05503,0.04702,0.02043,0.93763,0.9909,0.02592,0.04059,0,0.000841835,0.000841835,0.000841835
12,773.272,0.04692,0.04594,0.01799,0.93888,0.99103,0.02482,0.04151,0,0.000759318,0.000759318,0.000759318
13,831.335,0.03727,0.04102,0.01491,0.93879,0.99125,0.02591,0.03882,0,0.000676802,0.000676802,0.000676802
14,889.369,0.04002,0.04211,0.01593,0.94094,0.99137,0.02456,0.03748,0,0.000594286,0.000594286,0.000594286
15,946.959,0.04074,0.04101,0.0158,0.9424,0.99167,0.02368,0.03779,0,0.000511769,0.000511769,0.000511769
16,1005.14,0.03294,0.03816,0.01367,0.94427,0.99198,0.0228,0.03692,0,0.000429253,0.000429253,0.000429253
17,1062.69,0.03821,0.0394,0.01496,0.94221,0.99156,0.02329,0.03772,0,0.000346736,0.000346736,0.000346736
18,1120.42,0.03293,0.03484,0.01325,0.94206,0.99163,0.02406,0.03758,0,0.00026422,0.00026422,0.00026422
19,1177.71,0.03018,0.03306,0.0123,0.94338,0.9918,0.02334,0.03648,0,0.000181703,0.000181703,0.000181703
20,1235.49,0.03092,0.03294,0.01231,0.9439,0.99191,0.02342,0.03598,0,9.91865e-05,9.91865e-05,9.91865e-05
