epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3758,0.43479,0.4719,0.20787,0.74811,0.94379,0.23867,0.31237,0,0.000543587,0.000543587,0.000543587
2,146.291,0.12732,0.24954,0.0844,0.84481,0.97225,0.19104,0.14053,0,0.00104484,0.00104484,0.00104484
3,220.384,0.07001,0.14053,0.04961,0.92291,0.98852,0.04305,0.07663,0,0.00149108,0.00149108,0.00149108
4,292.681,0.04874,0.09365,0.03214,0.91333,0.98725,0.04693,0.07851,0,0.00141945,0.00141945,0.00141945
5,365.543,0.04344,0.07134,0.0243,0.93878,0.99135,0.02872,0.05097,0,0.00133693,0.00133693,0.00133693
6,439.645,0.03449,0.06514,0.0187,0.94134,0.99173,0.02604,0.04416,0,0.00125442,0.00125442,0.00125442
7,512.618,0.03624,0.06312,0.01658,0.92056,0.9883,0.03251,0.05064,0,0.0011719,0.0011719,0.0011719
8,585.335,0.03402,0.05573,0.0152,0.94354,0.992,0.02415,0.03878,0,0.00108938,0.00108938,0.00108938
9,658.963,0.03312,0.05168,0.01436,0.94152,0.99158,0.02479,0.04237,0,0.00100687,0.00100687,0.00100687
10,733.056,0.03353,0.05341,0.014,0.94548,0.99234,0.02298,0.03902,0,0.000924352,0.000924352,0.000924352
11,829.71,0.05965,0.05512,0.02166,0.94482,0.99226,0.0227,0.04031,0,0.000841835,0.000841835,0.000841835
12,898.014,0.04119,0.04359,0.01632,0.93611,0.99061,0.02608,0.04458,0,0.000759318,0.000759318,0.000759318
13,966.409,0.04265,0.04456,0.01668,0.94274,0.99205,0.02273,0.03894,0,0.000676802,0.000676802,0.000676802
14,1035.47,0.03574,0.04048,0.01474,0.94722,0.99256,0.02036,0.03722,0,0.000594286,0.000594286,0.000594286
15,1105.14,0.03811,0.04096,0.01527,0.94597,0.99241,0.02137,0.03918,0,0.000511769,0.000511769,0.000511769
16,1174.69,0.03467,0.03834,0.01386,0.94701,0.99244,0.02098,0.03648,0,0.000429253,0.000429253,0.000429253
17,1244.72,0.03803,0.03962,0.01482,0.94719,0.99251,0.02096,0.03694,0,0.000346736,0.000346736,0.000346736
18,1314.9,0.03326,0.03679,0.01349,0.94874,0.99279,0.02011,0.03593,0,0.00026422,0.00026422,0.00026422
19,1384.78,0.0331,0.03698,0.01351,0.94933,0.99286,0.01947,0.03514,0,0.000181703,0.000181703,0.000181703
20,1454.24,0.03333,0.03606,0.01344,0.94942,0.9929,0.01941,0.03486,0,9.91865e-05,9.91865e-05,9.91865e-05
