epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3019,0.4479,0.48089,0.21301,0.67708,0.90609,0.35455,0.33587,0,0.000543587,0.000543587,0.000543587
2,140.644,0.12678,0.25065,0.08733,0.797,0.95584,0.29849,0.18236,0,0.00104484,0.00104484,0.00104484
3,211.415,0.07131,0.14159,0.05112,0.89892,0.98262,0.06813,0.10277,0,0.00149108,0.00149108,0.00149108
4,282.368,0.05064,0.0989,0.03384,0.91949,0.98742,0.04497,0.06819,0,0.00141945,0.00141945,0.00141945
5,353.813,0.04094,0.07307,0.02391,0.93573,0.99029,0.03121,0.05164,0,0.00133693,0.00133693,0.00133693
6,425.652,0.03999,0.0655,0.02002,0.92956,0.98888,0.03412,0.05855,0,0.00125442,0.00125442,0.00125442
7,497.177,0.03267,0.05561,0.0159,0.94006,0.9908,0.02698,0.04531,0,0.0011719,0.0011719,0.0011719
8,568.877,0.03158,0.05013,0.01429,0.93974,0.99081,0.02759,0.04414,0,0.00108938,0.00108938,0.00108938
9,640.499,0.03105,0.04892,0.01374,0.9426,0.99122,0.02687,0.04109,0,0.00100687,0.00100687,0.00100687
10,712.203,0.03063,0.05166,0.0134,0.93004,0.98936,0.03499,0.05023,0,0.000924352,0.000924352,0.000924352
11,803.337,0.06802,0.06026,0.02381,0.94001,0.99062,0.02722,0.04562,0,0.000841835,0.000841835,0.000841835
12,869.956,0.0471,0.04841,0.01873,0.94396,0.99124,0.02522,0.04271,0,0.000759318,0.000759318,0.000759318
13,936.771,0.04173,0.04593,0.01708,0.94455,0.9915,0.02467,0.04324,0,0.000676802,0.000676802,0.000676802
14,1003.94,0.03728,0.04138,0.01541,0.94596,0.99169,0.02337,0.04012,0,0.000594286,0.000594286,0.000594286
15,1071.19,0.03563,0.03917,0.0145,0.94628,0.99178,0.02391,0.03874,0,0.000511769,0.000511769,0.000511769
16,1139.36,0.03527,0.03862,0.01413,0.94712,0.9919,0.02334,0.03836,0,0.000429253,0.000429253,0.000429253
17,1206.95,0.03315,0.03863,0.01345,0.94613,0.99174,0.02357,0.03907,0,0.000346736,0.000346736,0.000346736
18,1275.1,0.0326,0.03682,0.01328,0.94627,0.99174,0.02357,0.0385,0,0.00026422,0.00026422,0.00026422
19,1342.73,0.03202,0.03656,0.01316,0.94652,0.99185,0.02361,0.03792,0,0.000181703,0.000181703,0.000181703
20,1411.89,0.03403,0.03628,0.01356,0.94625,0.9918,0.02366,0.03783,0,9.91865e-05,9.91865e-05,9.91865e-05
