epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5404,0.43487,0.46885,0.21126,0.68105,0.91137,0.32297,0.33001,0,0.000543587,0.000543587,0.000543587
2,151.17,0.12348,0.24188,0.0855,0.79578,0.95749,0.3435,0.16676,0,0.00104484,0.00104484,0.00104484
3,225.73,0.06835,0.13757,0.04958,0.90286,0.98431,0.06906,0.08775,0,0.00149108,0.00149108,0.00149108
4,300.133,0.04812,0.09331,0.03252,0.92142,0.98862,0.05037,0.06356,0,0.00141945,0.00141945,0.00141945
5,374.269,0.04592,0.07715,0.02554,0.9384,0.99084,0.03024,0.04738,0,0.00133693,0.00133693,0.00133693
6,448.455,0.04163,0.07001,0.02111,0.91312,0.98605,0.04061,0.05686,0,0.00125442,0.00125442,0.00125442
7,522.667,0.04905,0.07605,0.02149,0.93826,0.99097,0.03195,0.04341,0,0.0011719,0.0011719,0.0011719
8,597.439,0.03772,0.06102,0.01723,0.93288,0.99033,0.04118,0.04942,0,0.00108938,0.00108938,0.00108938
9,671.259,0.03056,0.05152,0.01417,0.93765,0.99097,0.03691,0.04551,0,0.00100687,0.00100687,0.00100687
10,745.408,0.03094,0.0531,0.01338,0.93978,0.99115,0.02748,0.0401,0,0.000924352,0.000924352,0.000924352
11,841.375,0.05939,0.0546,0.02251,0.94199,0.99141,0.02425,0.0394,0,0.000841835,0.000841835,0.000841835
12,910.215,0.04517,0.04858,0.01763,0.94035,0.99117,0.02522,0.04126,0,0.000759318,0.000759318,0.000759318
13,980.175,0.0419,0.04253,0.0166,0.94261,0.99152,0.02419,0.03879,0,0.000676802,0.000676802,0.000676802
14,1050.15,0.03537,0.04137,0.01449,0.9439,0.99178,0.02295,0.0376,0,0.000594286,0.000594286,0.000594286
15,1119.45,0.03547,0.04064,0.0148,0.9438,0.99179,0.02426,0.03758,0,0.000511769,0.000511769,0.000511769
16,1188.6,0.03617,0.03863,0.01461,0.94506,0.99199,0.02347,0.03667,0,0.000429253,0.000429253,0.000429253
17,1257.71,0.03389,0.03731,0.01372,0.94424,0.99191,0.0249,0.03767,0,0.000346736,0.000346736,0.000346736
18,1326.4,0.03254,0.03762,0.01335,0.9417,0.99153,0.03187,0.04136,0,0.00026422,0.00026422,0.00026422
19,1393.48,0.03285,0.0372,0.01339,0.94228,0.99154,0.02924,0.04093,0,0.000181703,0.000181703,0.000181703
20,1456.26,0.03222,0.03608,0.01333,0.94335,0.99172,0.02631,0.0393,0,9.91865e-05,9.91865e-05,9.91865e-05
