epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0115,0.43912,0.47104,0.21089,0.70551,0.92464,0.29831,0.31601,0,0.000543587,0.000543587,0.000543587
2,128.362,0.12212,0.23718,0.08384,0.84093,0.97078,0.18963,0.14203,0,0.00104484,0.00104484,0.00104484
3,194.396,0.06562,0.13429,0.0481,0.90308,0.98465,0.06326,0.09425,0,0.00149108,0.00149108,0.00149108
4,261.394,0.04262,0.08962,0.03099,0.9158,0.98783,0.04496,0.06856,0,0.00141945,0.00141945,0.00141945
5,329.467,0.04321,0.07311,0.02455,0.91912,0.98824,0.04021,0.05511,0,0.00133693,0.00133693,0.00133693
6,398.622,0.03162,0.05562,0.01731,0.93261,0.99023,0.03166,0.04428,0,0.00125442,0.00125442,0.00125442
7,468.457,0.0329,0.05483,0.01589,0.92667,0.98914,0.03892,0.0484,0,0.0011719,0.0011719,0.0011719
8,539.21,0.02869,0.04538,0.01326,0.93405,0.99044,0.03166,0.04155,0,0.00108938,0.00108938,0.00108938
9,609.566,0.0255,0.03996,0.01166,0.93255,0.99016,0.03354,0.04236,0,0.00100687,0.00100687,0.00100687
10,679.745,0.02524,0.04108,0.01134,0.93436,0.99028,0.03028,0.041,0,0.000924352,0.000924352,0.000924352
11,770.187,0.04881,0.04326,0.01818,0.93091,0.98989,0.03367,0.04515,0,0.000841835,0.000841835,0.000841835
12,835.354,0.03972,0.04276,0.01596,0.93811,0.99099,0.02732,0.03998,0,0.000759318,0.000759318,0.000759318
13,900.652,0.03025,0.03308,0.01214,0.93432,0.99055,0.03111,0.03968,0,0.000676802,0.000676802,0.000676802
14,967.367,0.03432,0.03358,0.01347,0.93459,0.99059,0.0311,0.0397,0,0.000594286,0.000594286,0.000594286
15,1034.21,0.02906,0.03268,0.0119,0.93724,0.99089,0.02841,0.03868,0,0.000511769,0.000511769,0.000511769
16,1101.54,0.02739,0.03181,0.01149,0.93887,0.99101,0.02695,0.03807,0,0.000429253,0.000429253,0.000429253
17,1169.08,0.02998,0.03248,0.01186,0.93863,0.99117,0.02768,0.03749,0,0.000346736,0.000346736,0.000346736
18,1236.19,0.02634,0.02974,0.01074,0.93868,0.99106,0.02809,0.03735,0,0.00026422,0.00026422,0.00026422
19,1303.29,0.0249,0.02777,0.01019,0.93788,0.99104,0.02918,0.03739,0,0.000181703,0.000181703,0.000181703
20,1371.45,0.024,0.02708,0.00998,0.93905,0.99115,0.02809,0.03664,0,9.91865e-05,9.91865e-05,9.91865e-05
