epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2426,0.4414,0.47832,0.20578,0.77183,0.94953,0.23231,0.2963,0,0.000543587,0.000543587,0.000543587
2,126.916,0.12735,0.24194,0.08275,0.78642,0.95403,0.37365,0.18221,0,0.00104484,0.00104484,0.00104484
3,189.572,0.0735,0.1425,0.05097,0.89522,0.98257,0.06763,0.09403,0,0.00149108,0.00149108,0.00149108
4,252.099,0.046,0.09381,0.03178,0.92719,0.98884,0.03717,0.06054,0,0.00141945,0.00141945,0.00141945
5,314.532,0.03719,0.0681,0.02226,0.93278,0.98978,0.03218,0.05052,0,0.00133693,0.00133693,0.00133693
6,376.992,0.04067,0.065,0.01949,0.93464,0.9902,0.03058,0.04784,0,0.00125442,0.00125442,0.00125442
7,439.35,0.03005,0.0529,0.01497,0.91668,0.98656,0.0386,0.05877,0,0.0011719,0.0011719,0.0011719
8,502.017,0.03873,0.05722,0.01627,0.92497,0.9883,0.03414,0.05396,0,0.00108938,0.00108938,0.00108938
9,564.79,0.03266,0.05172,0.01432,0.92321,0.98863,0.03872,0.04901,0,0.00100687,0.00100687,0.00100687
10,627.668,0.03141,0.04721,0.01358,0.93513,0.99037,0.02994,0.04359,0,0.000924352,0.000924352,0.000924352
11,713.366,0.04799,0.04623,0.01793,0.93816,0.99061,0.0292,0.04199,0,0.000841835,0.000841835,0.000841835
12,771.717,0.04307,0.0428,0.01653,0.94027,0.99107,0.02677,0.04048,0,0.000759318,0.000759318,0.000759318
13,830.172,0.03417,0.03799,0.01373,0.94462,0.99174,0.02509,0.03783,0,0.000676802,0.000676802,0.000676802
14,888.802,0.03374,0.03672,0.01345,0.94316,0.99143,0.02485,0.03796,0,0.000594286,0.000594286,0.000594286
15,946.97,0.03359,0.03663,0.01337,0.94118,0.99116,0.02471,0.0387,0,0.000511769,0.000511769,0.000511769
16,1005.11,0.03045,0.03517,0.01255,0.94213,0.99127,0.02388,0.03866,0,0.000429253,0.000429253,0.000429253
17,1063.07,0.03127,0.03693,0.01275,0.94053,0.99109,0.02512,0.0387,0,0.000346736,0.000346736,0.000346736
18,1121.24,0.03242,0.03498,0.01284,0.93805,0.99066,0.02693,0.03951,0,0.00026422,0.00026422,0.00026422
19,1178.81,0.0306,0.03369,0.01221,0.93936,0.99092,0.02695,0.03871,0,0.000181703,0.000181703,0.000181703
20,1237.19,0.02889,0.03233,0.01172,0.94029,0.99101,0.02592,0.03836,0,9.91865e-05,9.91865e-05,9.91865e-05
