epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0117,0.44053,0.47826,0.20539,0.77159,0.94948,0.23365,0.29639,0,0.000543587,0.000543587,0.000543587
2,143.607,0.12491,0.24014,0.08174,0.79441,0.95663,0.35458,0.17635,0,0.00104484,0.00104484,0.00104484
3,215.607,0.06769,0.13881,0.04925,0.89714,0.983,0.06598,0.09129,0,0.00149108,0.00149108,0.00149108
4,287.816,0.04297,0.0907,0.03087,0.92462,0.98869,0.03898,0.06114,0,0.00141945,0.00141945,0.00141945
5,360.334,0.03474,0.06557,0.02172,0.93003,0.98947,0.03464,0.05022,0,0.00133693,0.00133693,0.00133693
6,432.444,0.03455,0.05879,0.01785,0.93341,0.99014,0.03344,0.04642,0,0.00125442,0.00125442,0.00125442
7,504.698,0.0253,0.04755,0.0135,0.92974,0.98919,0.0339,0.04925,0,0.0011719,0.0011719,0.0011719
8,576.656,0.02788,0.04555,0.01309,0.93395,0.99005,0.03308,0.04368,0,0.00108938,0.00108938,0.00108938
9,648.461,0.02406,0.04031,0.01141,0.93557,0.99037,0.03333,0.04149,0,0.00100687,0.00100687,0.00100687
10,720.252,0.02598,0.03903,0.01127,0.936,0.99047,0.03369,0.04103,0,0.000924352,0.000924352,0.000924352
11,814.434,0.04647,0.04182,0.01706,0.92165,0.98765,0.04015,0.04916,0,0.000841835,0.000841835,0.000841835
12,882.274,0.03901,0.03954,0.01495,0.93159,0.98951,0.03228,0.04397,0,0.000759318,0.000759318,0.000759318
13,950.366,0.03209,0.03544,0.01291,0.93882,0.99099,0.03028,0.03909,0,0.000676802,0.000676802,0.000676802
14,1018.89,0.02968,0.03215,0.01195,0.93808,0.9908,0.03002,0.03974,0,0.000594286,0.000594286,0.000594286
15,1086.75,0.03034,0.03276,0.01214,0.9315,0.98959,0.032,0.04229,0,0.000511769,0.000511769,0.000511769
16,1155.33,0.02583,0.03038,0.01084,0.93213,0.98965,0.03087,0.04184,0,0.000429253,0.000429253,0.000429253
17,1223.27,0.02497,0.03085,0.01055,0.93253,0.98985,0.0328,0.04154,0,0.000346736,0.000346736,0.000346736
18,1291.01,0.02448,0.0284,0.0102,0.93241,0.98974,0.03295,0.04152,0,0.00026422,0.00026422,0.00026422
19,1358.35,0.02611,0.02891,0.0104,0.93222,0.98982,0.03393,0.04135,0,0.000181703,0.000181703,0.000181703
20,1427.42,0.02288,0.0271,0.00949,0.9338,0.99001,0.03213,0.04055,0,9.91865e-05,9.91865e-05,9.91865e-05
