epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6402,0.44055,0.47268,0.2113,0.71004,0.92671,0.29177,0.31642,0,0.000543587,0.000543587,0.000543587
2,127.948,0.12668,0.24193,0.08535,0.83575,0.96942,0.20076,0.14624,0,0.00104484,0.00104484,0.00104484
3,191.35,0.07133,0.14013,0.05009,0.90333,0.98471,0.0613,0.09441,0,0.00149108,0.00149108,0.00149108
4,254.669,0.04812,0.09683,0.03262,0.92145,0.98853,0.04118,0.06515,0,0.00141945,0.00141945,0.00141945
5,318.074,0.04767,0.08088,0.02584,0.92041,0.98854,0.03651,0.05508,0,0.00133693,0.00133693,0.00133693
6,382.012,0.03601,0.0632,0.01888,0.92598,0.98918,0.03294,0.04879,0,0.00125442,0.00125442,0.00125442
7,445.909,0.04129,0.06494,0.01859,0.93222,0.99025,0.03293,0.04792,0,0.0011719,0.0011719,0.0011719
8,510.412,0.03349,0.05247,0.01504,0.93552,0.99067,0.02794,0.04315,0,0.00108938,0.00108938,0.00108938
9,574.89,0.02896,0.04576,0.01307,0.93642,0.99086,0.02731,0.0407,0,0.00100687,0.00100687,0.00100687
10,639.597,0.03095,0.04668,0.01295,0.94122,0.99147,0.02543,0.03883,0,0.000924352,0.000924352,0.000924352
11,726.031,0.05451,0.04848,0.02017,0.93794,0.99107,0.0258,0.04241,0,0.000841835,0.000841835,0.000841835
12,786.275,0.05082,0.05174,0.01985,0.93924,0.99114,0.02447,0.04242,0,0.000759318,0.000759318,0.000759318
13,846.442,0.03629,0.04209,0.01471,0.94113,0.99152,0.02414,0.0393,0,0.000676802,0.000676802,0.000676802
14,907.098,0.04015,0.04172,0.01589,0.94141,0.99158,0.02403,0.03814,0,0.000594286,0.000594286,0.000594286
15,967.502,0.03655,0.03978,0.01483,0.94181,0.99155,0.02323,0.03992,0,0.000511769,0.000511769,0.000511769
16,1028.08,0.03465,0.03954,0.01422,0.94355,0.99186,0.02289,0.03725,0,0.000429253,0.000429253,0.000429253
17,1088.58,0.03394,0.04012,0.01369,0.94368,0.99181,0.02308,0.03724,0,0.000346736,0.000346736,0.000346736
18,1148.69,0.03187,0.03636,0.01311,0.94276,0.99179,0.02357,0.03673,0,0.00026422,0.00026422,0.00026422
19,1208.38,0.03121,0.03468,0.01271,0.94448,0.99204,0.02283,0.03558,0,0.000181703,0.000181703,0.000181703
20,1268.93,0.03076,0.03404,0.01247,0.94507,0.99211,0.02259,0.03545,0,9.91865e-05,9.91865e-05,9.91865e-05
