epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4421,0.44785,0.47924,0.21296,0.67881,0.907,0.35094,0.3325,0,0.000543587,0.000543587,0.000543587
2,127.468,0.12558,0.24778,0.08677,0.80557,0.95852,0.28075,0.17712,0,0.00104484,0.00104484,0.00104484
3,190.369,0.06912,0.13784,0.05025,0.87577,0.97739,0.09407,0.11327,0,0.00149108,0.00149108,0.00149108
4,253.169,0.05153,0.09825,0.03386,0.9206,0.98744,0.04559,0.06767,0,0.00141945,0.00141945,0.00141945
5,316.25,0.03683,0.06754,0.0227,0.9263,0.98894,0.03829,0.06712,0,0.00133693,0.00133693,0.00133693
6,383.037,0.04039,0.06504,0.01973,0.84273,0.97001,0.10102,0.11712,0,0.00125442,0.00125442,0.00125442
7,445.91,0.03554,0.05787,0.01705,0.94042,0.99089,0.02888,0.04442,0,0.0011719,0.0011719,0.0011719
8,508.759,0.03306,0.05018,0.01496,0.94387,0.99132,0.02626,0.04093,0,0.00108938,0.00108938,0.00108938
9,571.331,0.02632,0.0428,0.01236,0.94458,0.99152,0.02586,0.04268,0,0.00100687,0.00100687,0.00100687
10,633.822,0.02876,0.04586,0.01243,0.93832,0.99046,0.03385,0.04887,0,0.000924352,0.000924352,0.000924352
11,718.714,0.05877,0.0507,0.0209,0.92848,0.9885,0.03409,0.05352,0,0.000841835,0.000841835,0.000841835
12,777.83,0.04197,0.04222,0.01702,0.94568,0.99156,0.02573,0.04338,0,0.000759318,0.000759318,0.000759318
13,837.824,0.03894,0.04189,0.01593,0.94731,0.99184,0.02362,0.03956,0,0.000676802,0.000676802,0.000676802
14,897.711,0.03876,0.04162,0.01561,0.94834,0.99202,0.02378,0.03802,0,0.000594286,0.000594286,0.000594286
15,957.72,0.03539,0.03691,0.01434,0.94535,0.99159,0.02887,0.04218,0,0.000511769,0.000511769,0.000511769
16,1018.39,0.03363,0.03639,0.01365,0.94864,0.99215,0.02417,0.03819,0,0.000429253,0.000429253,0.000429253
17,1078.61,0.03187,0.03708,0.01309,0.94857,0.9921,0.02374,0.03816,0,0.000346736,0.000346736,0.000346736
18,1139.37,0.03322,0.03624,0.01339,0.94873,0.99213,0.02375,0.03873,0,0.00026422,0.00026422,0.00026422
19,1199.38,0.03292,0.03647,0.01338,0.94942,0.99224,0.02319,0.03755,0,0.000181703,0.000181703,0.000181703
20,1259.72,0.03208,0.03426,0.01299,0.94915,0.99224,0.02292,0.03715,0,9.91865e-05,9.91865e-05,9.91865e-05
