epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9789,0.44717,0.4797,0.21274,0.67773,0.90646,0.35506,0.33351,0,0.000543587,0.000543587,0.000543587
2,145.865,0.1223,0.24554,0.08544,0.80258,0.95761,0.29549,0.17878,0,0.00104484,0.00104484,0.00104484
3,218.8,0.06542,0.1346,0.04912,0.88343,0.97924,0.08589,0.10894,0,0.00149108,0.00149108,0.00149108
4,291.429,0.04554,0.09156,0.0322,0.92235,0.98801,0.04408,0.0664,0,0.00141945,0.00141945,0.00141945
5,363.916,0.03515,0.0659,0.02207,0.93443,0.99005,0.03302,0.04919,0,0.00133693,0.00133693,0.00133693
6,435.847,0.03689,0.06064,0.0188,0.90096,0.98336,0.05382,0.07384,0,0.00125442,0.00125442,0.00125442
7,508.068,0.02973,0.05164,0.01531,0.93143,0.98948,0.03627,0.05608,0,0.0011719,0.0011719,0.0011719
8,580.776,0.026,0.04302,0.01266,0.94271,0.99126,0.02879,0.04009,0,0.00108938,0.00108938,0.00108938
9,653.505,0.02512,0.03997,0.01179,0.94234,0.99112,0.02804,0.04041,0,0.00100687,0.00100687,0.00100687
10,726.287,0.02556,0.04283,0.01141,0.93278,0.98965,0.03472,0.04766,0,0.000924352,0.000924352,0.000924352
11,820.221,0.05556,0.04686,0.0201,0.93364,0.98943,0.03276,0.04513,0,0.000841835,0.000841835,0.000841835
12,888.223,0.0419,0.04187,0.0168,0.93466,0.98975,0.03188,0.04369,0,0.000759318,0.000759318,0.000759318
13,955.469,0.03873,0.04043,0.01546,0.9441,0.99137,0.02774,0.03841,0,0.000676802,0.000676802,0.000676802
14,1022.72,0.03541,0.03723,0.01406,0.93654,0.98993,0.03219,0.0463,0,0.000594286,0.000594286,0.000594286
15,1089.66,0.03,0.03358,0.0124,0.93987,0.99081,0.02887,0.04151,0,0.000511769,0.000511769,0.000511769
16,1157.49,0.02807,0.03141,0.01137,0.94144,0.991,0.02843,0.03932,0,0.000429253,0.000429253,0.000429253
17,1224.8,0.02638,0.03101,0.0109,0.94339,0.99123,0.02725,0.03818,0,0.000346736,0.000346736,0.000346736
18,1292.09,0.02731,0.03002,0.01113,0.94163,0.99108,0.02823,0.03863,0,0.00026422,0.00026422,0.00026422
19,1359.46,0.02704,0.03027,0.01115,0.94252,0.99109,0.02739,0.03835,0,0.000181703,0.000181703,0.000181703
20,1428.08,0.02719,0.03095,0.01113,0.94275,0.99116,0.02728,0.03772,0,9.91865e-05,9.91865e-05,9.91865e-05
